assessment_name,url
mq-motivation-report-pack,https://www.shl.com/products/product-catalog/view/mq-motivation-report-pack/
mq-profile,https://www.shl.com/products/product-catalog/view/mq-profile/
ms-access-new,https://www.shl.com/products/product-catalog/view/ms-access-new/
ms-excel-new,https://www.shl.com/products/product-catalog/view/ms-excel-new/
ms-office-basic-computer-literacy-new,https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-new/
ms-office-basic-computer-literacy-sim-new,https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/
ms-powerpoint-new,https://www.shl.com/products/product-catalog/view/ms-powerpoint-new/
ms-word-new,https://www.shl.com/products/product-catalog/view/ms-word-new/
mulesoft-development-new,https://www.shl.com/products/product-catalog/view/mulesoft-development-new/
multitasking-ability,https://www.shl.com/products/product-catalog/view/multitasking-ability/
networking-and-implementation-new,https://www.shl.com/products/product-catalog/view/networking-and-implementation-new/
node-js-new,https://www.shl.com/products/product-catalog/view/node-js-new/
nursing-new,https://www.shl.com/products/product-catalog/view/nursing-new/
occupational-personality-questionnaire-opq32r,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/
operations-management-new,https://www.shl.com/products/product-catalog/view/operations-management-new/
opq-candidate-plus-report,https://www.shl.com/products/product-catalog/view/opq-candidate-plus-report/
opq-candidate-report-2-0,https://www.shl.com/products/product-catalog/view/opq-candidate-report-2-0/
opq-emotional-intelligence-report,https://www.shl.com/products/product-catalog/view/opq-emotional-intelligence-report/
opq-leadership-report,https://www.shl.com/products/product-catalog/view/opq-leadership-report/
opq-manager-plus-report,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report/
opq-manager-plus-report-2-0,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report-2-0/
opq-maximising-your-learning-report,https://www.shl.com/products/product-catalog/view/opq-maximising-your-learning-report/
opq-mq-sales-report,https://www.shl.com/products/product-catalog/view/opq-mq-sales-report/
opq-premium-plus-report,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report/
opq-premium-plus-report-2-0,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report-2-0/
opq-profile-report,https://www.shl.com/products/product-catalog/view/opq-profile-report/
opq-team-impact-group-development-report,https://www.shl.com/products/product-catalog/view/opq-team-impact-group-development-report/
opq-team-impact-individual-development-report,https://www.shl.com/products/product-catalog/view/opq-team-impact-individual-development-report/
opq-team-impact-selection-report,https://www.shl.com/products/product-catalog/view/opq-team-impact-selection-report/
opq-team-types-and-leadership-styles-profile,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/
opq-team-types-and-leadership-styles-report,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-report/
opq-ucf-development-action-planner-report,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report/
opq-ucf-development-action-planner-report-2-0,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0/
opq-universal-competency-report,https://www.shl.com/products/product-catalog/view/opq-universal-competency-report/
opq-universal-competency-report-2-0,https://www.shl.com/products/product-catalog/view/opq-universal-competency-report-2-0/
opq-user-and-managers-report,https://www.shl.com/products/product-catalog/view/opq-user-and-managers-report/
opq-user-report,https://www.shl.com/products/product-catalog/view/opq-user-report/
oracle-dba-advanced-level-new,https://www.shl.com/products/product-catalog/view/oracle-dba-advanced-level-new/
oracle-dba-entry-level-new,https://www.shl.com/products/product-catalog/view/oracle-dba-entry-level-new/
oracle-plsql-new,https://www.shl.com/products/product-catalog/view/oracle-plsql-new/
oracle-weblogic-server-new,https://www.shl.com/products/product-catalog/view/oracle-weblogic-server-new/
organic-chemistry-new,https://www.shl.com/products/product-catalog/view/organic-chemistry-new/
paint-technology-new,https://www.shl.com/products/product-catalog/view/paint-technology-new/
pediatrics-new,https://www.shl.com/products/product-catalog/view/pediatrics-new/
pega-development-new,https://www.shl.com/products/product-catalog/view/pega-development-new/
perl-new,https://www.shl.com/products/product-catalog/view/perl-new/
petrochemical-engineering-new,https://www.shl.com/products/product-catalog/view/petrochemical-engineering-new/
petroleum-engineering-new,https://www.shl.com/products/product-catalog/view/petroleum-engineering-new/
pharmaceutical-analysis-new,https://www.shl.com/products/product-catalog/view/pharmaceutical-analysis-new/
pharmaceutical-chemistry-new,https://www.shl.com/products/product-catalog/view/pharmaceutical-chemistry-new/
pharmaceutical-science-new,https://www.shl.com/products/product-catalog/view/pharmaceutical-science-new/
pharmaceutics-new,https://www.shl.com/products/product-catalog/view/pharmaceutics-new/
pharmacology-new,https://www.shl.com/products/product-catalog/view/pharmacology-new/
php-new,https://www.shl.com/products/product-catalog/view/php-new/
pjm-development-report,https://www.shl.com/products/product-catalog/view/pjm-development-report/
pjm-selection-report,https://www.shl.com/products/product-catalog/view/pjm-selection-report/
polymer-engineering-new,https://www.shl.com/products/product-catalog/view/polymer-engineering-new/
power-electronics-and-drives-new,https://www.shl.com/products/product-catalog/view/power-electronics-and-drives-new/
power-system-engineering-new,https://www.shl.com/products/product-catalog/view/power-system-engineering-new/
prism-new,https://www.shl.com/products/product-catalog/view/prism-new/
production-and-industrial-engineering-new,https://www.shl.com/products/product-catalog/view/production-and-industrial-engineering-new/
production-engineering-new,https://www.shl.com/products/product-catalog/view/production-engineering-new/
programming-concepts,https://www.shl.com/products/product-catalog/view/programming-concepts/
project-management-2013,https://www.shl.com/products/product-catalog/view/project-management-2013/
proofreading-v1,https://www.shl.com/products/product-catalog/view/proofreading-v1/
python-new,https://www.shl.com/products/product-catalog/view/python-new/
r-programming-new,https://www.shl.com/products/product-catalog/view/r-programming-new/
reactjs-new,https://www.shl.com/products/product-catalog/view/reactjs-new/
reading-comprehension-english-v1,https://www.shl.com/products/product-catalog/view/reading-comprehension-english-v1/
reading-comprehension-spanish-v1,https://www.shl.com/products/product-catalog/view/reading-comprehension-spanish-v1/
reading-comprehension-v2,https://www.shl.com/products/product-catalog/view/reading-comprehension-v2/
remoteworkq,https://www.shl.com/products/product-catalog/view/remoteworkq/
remoteworkq-manager-report,https://www.shl.com/products/product-catalog/view/remoteworkq-manager-report/
remoteworkq-participant-report,https://www.shl.com/products/product-catalog/view/remoteworkq-participant-report/
restful-web-services-new,https://www.shl.com/products/product-catalog/view/restful-web-services-new/
retail-sales-and-service-simulation,https://www.shl.com/products/product-catalog/view/retail-sales-and-service-simulation/
reviewing-forms-us-r1,https://www.shl.com/products/product-catalog/view/reviewing-forms-us-r1/
ruby-new,https://www.shl.com/products/product-catalog/view/ruby-new/
ruby-on-rails-new,https://www.shl.com/products/product-catalog/view/ruby-on-rails-new/
sales-and-service-phone-simulation,https://www.shl.com/products/product-catalog/view/sales-and-service-phone-simulation/
sales-and-service-phone-solution,https://www.shl.com/products/product-catalog/view/sales-and-service-phone-solution/
